unit_type,unit_label,n_units,lat_min,lat_max,lat_center,midpoint_median,midpoint_q05,midpoint_q95,midpoint_q90_width,progress_quality_dominant,interpretation
whole_field_H,H_whole_field,1,,,,39.0,37.0,51.0,14.0,monotonic_clear_progress,whole-field H reference from V7-e
single_lat_feature,H_feature_15.0,1,15.0,15.0,15.0,38.0,34.0,52.0,18.0,nonmonotonic_progress,single-lat feature reference from V7-f
single_lat_feature,H_feature_17.0,1,17.0,17.0,17.0,39.0,34.0,52.0,18.0,nonmonotonic_progress,single-lat feature reference from V7-f
single_lat_feature,H_feature_19.0,1,19.0,19.0,19.0,37.0,30.0,53.0,23.0,nonmonotonic_progress,single-lat feature reference from V7-f
single_lat_feature,H_feature_21.0,1,21.0,21.0,21.0,38.0,32.0,54.0,22.0,nonmonotonic_progress,single-lat feature reference from V7-f
single_lat_feature,H_feature_23.0,1,23.0,23.0,23.0,39.0,36.0,51.0,15.0,nonmonotonic_progress,single-lat feature reference from V7-f
single_lat_feature,H_feature_25.0,1,25.0,25.0,25.0,39.0,37.0,49.0,12.0,nonmonotonic_progress,single-lat feature reference from V7-f
single_lat_feature,H_feature_27.0,1,27.0,27.0,27.0,39.0,37.0,44.0,7.0,nonmonotonic_progress,single-lat feature reference from V7-f
single_lat_feature,H_feature_29.0,1,29.0,29.0,29.0,39.0,37.0,49.0,12.0,nonmonotonic_progress,single-lat feature reference from V7-f
single_lat_feature,H_feature_31.0,1,31.0,31.0,31.0,39.0,37.0,50.0,13.0,nonmonotonic_progress,single-lat feature reference from V7-f
single_lat_feature,H_feature_33.0,1,33.0,33.0,33.0,43.0,37.0,51.0,14.0,nonmonotonic_progress,single-lat feature reference from V7-f
single_lat_feature,H_feature_35.0,1,35.0,35.0,35.0,49.0,38.0,51.0,13.0,monotonic_clear_progress,single-lat feature reference from V7-f
local_3_lat_band,H_band_15_19,1,15.0,19.0,17.0,39.0,35.0,53.0,18.0,nonmonotonic_progress,local 3-lat-band reference from V7-g
local_3_lat_band,H_band_17_21,1,17.0,21.0,19.0,40.0,37.0,53.0,16.0,nonmonotonic_progress,local 3-lat-band reference from V7-g
local_3_lat_band,H_band_19_23,1,19.0,23.0,21.0,39.0,37.0,52.0,15.0,nonmonotonic_progress,local 3-lat-band reference from V7-g
local_3_lat_band,H_band_21_25,1,21.0,25.0,23.0,39.0,37.0,51.0,14.0,nonmonotonic_progress,local 3-lat-band reference from V7-g
local_3_lat_band,H_band_23_27,1,23.0,27.0,25.0,39.0,37.0,50.0,13.0,nonmonotonic_progress,local 3-lat-band reference from V7-g
local_3_lat_band,H_band_25_29,1,25.0,29.0,27.0,39.0,37.0,49.0,12.0,nonmonotonic_progress,local 3-lat-band reference from V7-g
local_3_lat_band,H_band_27_31,1,27.0,31.0,29.0,39.0,37.0,50.0,13.0,nonmonotonic_progress,local 3-lat-band reference from V7-g
local_3_lat_band,H_band_29_33,1,29.0,33.0,31.0,39.0,37.0,50.0,13.0,monotonic_clear_progress,local 3-lat-band reference from V7-g
local_3_lat_band,H_band_31_35,1,31.0,35.0,33.0,43.0,37.0,51.0,14.0,monotonic_clear_progress,local 3-lat-band reference from V7-g
coherent_region,H_region_0_stable_negative_change_15_17,1,15.0,17.0,16.0,38.0,34.0,52.0,18.0,nonmonotonic_progress,transition-coherent region result from V7-h
coherent_region,H_region_1_ambiguous_change_19_21,1,19.0,21.0,20.0,39.0,37.0,54.0,17.0,nonmonotonic_progress,transition-coherent region result from V7-h
coherent_region,H_region_2_stable_positive_change_23_35,1,23.0,35.0,29.0,39.0,37.0,50.0,13.0,nonmonotonic_progress,transition-coherent region result from V7-h
